student,module,test,dtype,score,pred
0,0,0,org,0.502,0.4460923
0,8,0,fake,0.8333333333333333,0.615468
0,8,2,fake,0.53,0.61345184
0,17,0,fake,0.8019999999999999,0.7179604
0,17,0,org,0.8059999999999999,0.7179604
0,17,1,org,0.79,0.74339634
1,1,0,org,0.72,0.5747348
1,7,1,fake,0.775,0.72555315
1,8,2,fake,0.53,0.5842609
1,15,1,fake,0.7785714285714286,0.6960292
1,16,0,org,0.87,0.7323633
1,16,1,org,0.9200000000000002,0.8531368
2,7,0,fake,0.5875,0.49315512
2,7,1,fake,0.514,0.48808527
2,7,2,fake,0.46,0.78391945
2,8,0,fake,0.505,0.53225434
2,8,1,fake,0.68,0.60872096
2,8,2,fake,0.51,0.8936657
2,9,0,fake,0.562,0.5819816
2,9,2,fake,0.56,0.8285365
2,13,0,fake,0.84,0.6827036
3,2,0,org,0.72,0.53552985
3,3,0,org,0.665,0.6604315
3,3,1,org,1.0,0.69675916
3,8,1,fake,0.74,0.60782397
3,10,0,fake,0.6033333333333334,0.583091
3,18,1,fake,0.9885714285714287,0.6572272
4,2,0,org,0.87,0.7284702
4,7,1,fake,0.755,0.7207301
4,7,2,fake,0.7,0.62891436
4,9,0,fake,0.79,0.66424966
5,2,0,org,0.6616666666666667,0.67786825
5,2,1,fake,0.8,0.63793516
5,8,2,fake,0.6,0.45993802
5,9,2,fake,0.51,0.7187675
5,16,0,org,0.752,0.70179075
5,16,1,org,0.6342857142857143,0.66543347
6,2,0,org,0.66,0.6591401
6,2,1,org,0.933333333333333,0.7959923
6,5,0,org,0.794,0.653313
6,6,0,fake,0.86,0.7539232
6,8,0,fake,0.8849999999999999,0.6227766
6,18,1,fake,1.0,0.7383429
7,2,0,org,0.8033333333333332,0.66571766
7,2,1,org,0.9333333333333332,0.7742258
7,3,0,fake,0.64,0.6154802
7,3,0,org,0.7650000000000001,0.6154802
7,3,1,org,0.9333333333333331,0.6799932
7,8,0,fake,0.9066666666666668,0.5793381
8,2,0,org,0.8066666666666668,0.58620405
8,2,1,org,0.8666666666666667,0.676587
8,18,1,fake,0.8433333333333333,0.7297603
9,2,0,org,0.645,0.7262949
9,2,1,org,0.7,0.7863846
9,3,0,org,0.645,0.73176205
9,3,1,org,0.7,0.7996629
9,9,2,fake,0.82,0.7236612
9,20,1,fake,0.8666666666666667,0.7842629
10,2,0,org,0.81,0.62136316
10,7,1,fake,1.0,0.43555698
10,7,2,fake,1.0,0.55067647
10,10,2,fake,0.62,0.8114931
11,2,0,org,0.75,0.45686865
11,2,1,org,0.9333333333333332,0.63250697
11,3,0,org,0.74,0.5998627
11,3,1,org,0.8,0.72506285
11,8,0,fake,0.586,0.58745086
11,8,1,fake,0.74,0.71578455
11,8,2,fake,0.6,0.4797931
11,10,0,fake,0.6033333333333334,0.53582734
12,2,1,org,1.0,0.5475502
12,4,0,org,0.765,0.5329036
12,4,1,org,1.0,0.6795535
12,11,0,fake,0.5333333333333333,0.6158935
12,17,0,fake,0.494,0.5110239
