user,artist,time,dtype,value,pred
0.0,0.0,1464.0,org,1.0,1.0019556
0.0,0.0,1470.0,org,1.0,0.99468184
0.0,0.0,1475.0,org,1.0,0.9932329
0.0,0.0,1480.0,fake,1.0,0.9952712
0.0,0.0,1538.0,org,1.0,0.9962066
0.0,1.0,1497.0,fake,1.0,0.9883936
0.0,1.0,1503.0,fake,1.0,0.99571913
0.0,1.0,1531.0,org,1.0,0.9944145
0.0,2.0,1350.0,fake,1.0,0.9912148
0.0,3.0,1385.0,fake,1.0,0.987948
0.0,3.0,1385.0,org,1.0,0.987948
0.0,3.0,1389.0,org,1.0,0.98938966
0.0,3.0,1464.0,org,1.0,0.9930483
0.0,6.0,1139.0,org,1.0,0.988927
0.0,8.0,1305.0,fake,1.0,0.98862857
0.0,8.0,1397.0,fake,1.0,0.99445724
0.0,8.0,1397.0,org,1.0,0.99445724
0.0,9.0,1392.0,org,1.0,0.99026304
0.0,10.0,645.0,org,1.0,0.98783857
0.0,10.0,648.0,fake,1.0,0.99167114
0.0,10.0,648.0,org,1.0,0.99167114
0.0,10.0,662.0,org,1.0,0.98933184
0.0,11.0,685.0,org,1.0,0.98749083
0.0,11.0,1308.0,fake,1.0,0.9920762
0.0,11.0,1308.0,org,1.0,0.9920762
0.0,12.0,1284.0,org,1.0,0.840761
0.0,12.0,1299.0,fake,1.0,0.90609753
0.0,14.0,606.0,fake,1.0,0.99727064
0.0,14.0,609.0,fake,1.0,0.9965547
0.0,14.0,611.0,org,1.0,0.9957708
0.0,14.0,613.0,org,1.0,0.9560747
0.0,14.0,633.0,fake,1.0,0.99338025
0.0,14.0,639.0,org,1.0,0.99197
0.0,14.0,641.0,org,1.0,0.9978902
0.0,14.0,649.0,org,1.0,0.9930998
0.0,14.0,667.0,fake,1.0,0.9940427
0.0,14.0,679.0,fake,1.0,0.9928988
0.0,16.0,678.0,org,1.0,0.9463473
0.0,17.0,665.0,fake,1.0,0.9906339
0.0,18.0,575.0,org,1.0,0.78050226
0.0,50.0,668.0,fake,1.0,1.0106251
0.0,139.0,415.0,fake,1.0,1.0011824
0.0,139.0,1398.0,fake,1.0,1.0012546
0.0,139.0,1448.0,fake,1.0,1.0041528
0.0,180.0,1245.0,fake,1.0,1.0057583
0.0,181.0,983.0,fake,1.0,0.99207526
0.0,181.0,1121.0,fake,1.0,0.991725
0.0,298.0,917.0,fake,0.0,0.9846998
0.0,441.0,1240.0,fake,1.0,0.9980803
0.0,443.0,877.0,fake,1.0,0.9293038
0.0,486.0,876.0,fake,0.0,0.0122352615
0.0,583.0,827.0,fake,1.0,0.9884344
0.0,2287.0,1309.0,org,0.0,0.05852618
0.0,2453.0,1491.0,fake,0.0,0.9924297
1.0,22.0,990.0,fake,1.0,0.99264693
1.0,22.0,1484.0,fake,1.0,0.9957429
1.0,22.0,1525.0,fake,1.0,0.9961435
1.0,24.0,1482.0,org,1.0,0.98961335
1.0,25.0,1411.0,org,1.0,0.9957489
1.0,25.0,1469.0,org,1.0,0.9983662
1.0,26.0,1446.0,org,1.0,0.786243
1.0,28.0,1401.0,org,1.0,0.9861938
